script	school	kind	fields_json	levels_json	calls	attrs
凌雪阁\套路及子技能\乱天狼单手表现.lua	凌雪阁	plain	{"bIgnorePrepareState": "true"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		
凌雪阁\套路及子技能\孤风飒踏.lua	凌雪阁	bytecode	{}	[]	SetNormalCoolDown	nCostMana;nWeaponDamagePercent;nMinRadius;nMaxRadius;nAreaRadius;nAngleRange
凌雪阁\套路及子技能\孤风飒踏二段.lua	凌雪阁	bytecode	{}	[]	SetNormalCoolDown;SetCheckCoolDown	nCostMana;nCostSprintPower;nWeaponDamagePercent;nMinRadius;nMaxRadius;nAreaRadius;nAngleRange
凌雪阁\套路及子技能\孤风飒踏二段_黑豹.lua	凌雪阁	bytecode	{}	[]	SetNormalCoolDown;SetCheckCoolDown	nCostMana;nCostSprintPower;nWeaponDamagePercent;nMinRadius;nMaxRadius;nAreaRadius;nAngleRange
凌雪阁\套路及子技能\孤风飒踏冲刺.lua	凌雪阁	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "30 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "100 * LENGTH_BASE", "nWeaponDamagePercent": "0"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_BUFF;DASH_TO_POINT;EXECUTE_SCRIPT
凌雪阁\套路及子技能\孤风飒踏右手出链表现.lua	凌雪阁	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "40 * LENGTH_BASE", "nAngleRange": "256", "nSkillBulletType": "SKILL_BULLET_TYPE.LXG_WHIP", "nBulletVelocity": "100"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		
凌雪阁\套路及子技能\孤风飒踏左手出链表现.lua	凌雪阁	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "40 * LENGTH_BASE", "nAngleRange": "256", "nSkillBulletType": "SKILL_BULLET_TYPE.LXG_WHIP", "nBulletVelocity": "100"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		
凌雪阁\套路及子技能\斩无常增益技能.lua	凌雪阁	plain	{"nChannelInterval": "160 * 1.2", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "6 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "6 * LENGTH_BASE"}	[{"nAddRage": "0", "nCostRage": "0", "nDamageBase": "108", "nDamageRand": "3"}, {"nAddRage": "0", "nCostRage": "0", "nDamageBase": "124", "nDamageRand": "4"}, {"nAddRage": "0", "nCostRage": "0", "nDamageBase": "140", "nDamageRand": "5"}, {"nAddRage": "0", "nCostRage": "0", "nDamageBase": "156", "nDamageRand": "5"}, {"nAddRage": "0", "nCostRage": "0", "nDamageBase": "172", "nDamageRand": "6"}, {"nAddRage": "0", "nCostRage": "0", "nDamageBase": "188", "nDamageRand": "7"}, {"nAddRage": "0", "nCostRage": "0", "nDamageBase": "204", "nDamageRand": "8"}, {"nAddRage": "0", "nCostRage": "0", "nDamageBase": "220", "nDamageRand": "9"}, {"nAddRage": "0", "nCostRage": "0", "nDamageBase": "236", "nDamageRand": "9"}, {"nAddRage": "0", "nCostRage": "0", "nDamageBase": "252", "nDamageRand": "10"}]		EXECUTE_SCRIPT
凌雪阁\套路及子技能\无间狱修罗挥砍一.lua	凌雪阁	bytecode	{}	[]	ModifyCoolDown	nChannelInterval;bIgnorePrepareState;nCostMana;nMinRadius;nMaxRadius;nAreaRadius;nAngleRange
凌雪阁\套路及子技能\无间狱修罗挥砍二.lua	凌雪阁	bytecode	{}	[]	ModifyCoolDown	nChannelInterval;bIgnorePrepareState;nCostMana;nMinRadius;nMaxRadius;nAreaRadius;nAngleRange
凌雪阁\套路及子技能\无间狱修罗碰撞AOE伤害子技能.lua	凌雪阁	bytecode	{}	[]	ClearCDTime	nChannelInterval;bIgnorePrepareState;nCostMana;nMinRadius;nMaxRadius;nAreaRadius;nAngleRange
凌雪阁\套路及子技能\无间狱拉目标.lua	凌雪阁	plain	{"nMinRadius": "MELEE_ATTACK_DISTANCE", "nMaxRadius": "30 * LENGTH_BASE", "nAngleRange": "256"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		PULL
凌雪阁\套路及子技能\暗度·琴音共鸣.lua	凌雪阁	bytecode	{}	[]	SetPublicCoolDown;SetNormalCoolDown;SetCheckCoolDown	nCostMana;nCostSprintPower;nMinRadius;nMaxRadius;nAngleRange
凌雪阁\套路及子技能\暗度通用加十方.lua	凌雪阁	plain	{}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		
凌雪阁\套路及子技能\疑战孤风飒踏二段击飞.lua	凌雪阁	plain	{"nMaxRadius": "20 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "6 * LENGTH_BASE", "nChannelInterval": "240", "nWeaponDamagePercent": "0"}	[{"nDamageBase": "186 * 0.95", "nDamageRand": "186 * 0.1", "nCostMana": "0"}, {"nDamageBase": "286 * 0.95", "nDamageRand": "286 * 0.1", "nCostMana": "0"}, {"nDamageBase": "386 * 0.95", "nDamageRand": "386 * 0.1", "nCostMana": "0"}, {"nDamageBase": "486 * 0.95", "nDamageRand": "486 * 0.1", "nCostMana": "0"}, {"nDamageBase": "586 * 0.95", "nDamageRand": "586 * 0.1", "nCostMana": "0"}, {"nDamageBase": "686 * 0.95", "nDamageRand": "686 * 0.1", "nCostMana": "0"}, {"nDamageBase": "786 * 0.95", "nDamageRand": "786 * 0.1", "nCostMana": "0"}, {"nDamageBase": "886 * 0.95", "nDamageRand": "886 * 0.1", "nCostMana": "0"}]		CALL_PHYSICS_DAMAGE;EXECUTE_SCRIPT;SKILL_MOVE;SKILL_PHYSICS_DAMAGE;SKILL_PHYSICS_DAMAGE_RAND
凌雪阁\套路及子技能\自身范围AOE.lua	凌雪阁	bytecode	{}	[]		nChannelInterval;bIgnorePrepareState;nCostMana;nMinRadius;nMaxRadius;nAreaRadius;nAngleRange
刀宗\刀宗_骤雨劲_洗兵雨.lua	刀宗	bytecode	{}	[]	SetNormalCoolDown;SetCheckCoolDown	nCostRage;nCostSprintPower;nMaxRadius;nAngleRange
刀宗\套路及子技能\游风飘踪击倒子技能.lua	刀宗	plain	{"nWeaponDamagePercent": "0", "nMinRadius": "0", "nMaxRadius": "30 * LENGTH_BASE", "nAngleRange": "256", "nPrepareFrames": "0", "nBulletVelocity": "0", "nDismountingRate": "1024", "nBreakRate": "0"}	[]		EXECUTE_SCRIPT_WITH_PARAM
刀宗\套路及子技能\破绽产生.lua	刀宗	plain	{"bIgnorePrepareState": "true", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "50 * LENGTH_BASE", "nAngleRange": "256"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		EXECUTE_SCRIPT
剑三moba\龙吟.lua	剑三moba	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "100 * LENGTH_BASE", "nAngleRange": "128", "nAreaRadius": "15 * LENGTH_BASE"}	[{"nDamageBase": "103140", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		CALL_POISON_DAMAGE;SKILL_POISON_DAMAGE;SKILL_POISON_DAMAGE_RAND
北天药宗\北天药宗_腐生予馈.lua	北天药宗	bytecode	{}	[]	SetPublicCoolDown;SetNormalCoolDown;SetCheckCoolDown	nCostMana;nCostSprintPower;nMinRadius;nMaxRadius;nAngleRange
北天药宗\北天药宗奇穴套路\北天药宗_木通_温性寒性状态加强.lua	北天药宗	plain	{}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		EXECUTE_SCRIPT
北天药宗\北天药宗奇穴套路\北天药宗_飘黄_逐云寒蕊增益.lua	北天药宗	plain	{"nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "20 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "50 * LENGTH_BASE"}	[{"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}, {"nDamageBase": "0", "nDamageRand": "0", "nCostMana": "0"}]		SET_TALENT_RECIPE
北天药宗\套路及子技能\北天药宗_棘丛于地伤害子技能.lua	北天药宗	bytecode	{}	[]		nChannelInterval;bIgnorePrepareState;nCostMana;nWeaponDamagePercent;nMinRadius;nMaxRadius;nAngleRange
北天药宗\套路及子技能\北天药宗_棘丛于地目标点方形.lua	北天药宗	plain	{"bIgnorePrepareState": "true", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "50 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "5 * LENGTH_BASE", "nChannelInterval": "240", "nWeaponDamagePercent": "0"}	[{"nDamageBase": "186 * 0.95", "nDamageRand": "186 * 0.1", "nCostMana": "0"}, {"nDamageBase": "286 * 0.95", "nDamageRand": "286 * 0.1", "nCostMana": "0"}, {"nDamageBase": "386 * 0.95", "nDamageRand": "386 * 0.1", "nCostMana": "0"}, {"nDamageBase": "486 * 0.95", "nDamageRand": "486 * 0.1", "nCostMana": "0"}, {"nDamageBase": "586 * 0.95", "nDamageRand": "586 * 0.1", "nCostMana": "0"}, {"nDamageBase": "686 * 0.95", "nDamageRand": "686 * 0.1", "nCostMana": "0"}, {"nDamageBase": "786 * 0.95", "nDamageRand": "786 * 0.1", "nCostMana": "0"}, {"nDamageBase": "886 * 0.95", "nDamageRand": "886 * 0.1", "nCostMana": "0"}]		EXECUTE_SCRIPT
北天药宗\套路及子技能\北天药宗_棘丛于地目标点方形0-5.lua	北天药宗	plain	{"bIgnorePrepareState": "true", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "50 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "5 * LENGTH_BASE", "nChannelInterval": "240", "nWeaponDamagePercent": "0"}	[{"nDamageBase": "186 * 0.95", "nDamageRand": "186 * 0.1", "nCostMana": "0"}, {"nDamageBase": "286 * 0.95", "nDamageRand": "286 * 0.1", "nCostMana": "0"}, {"nDamageBase": "386 * 0.95", "nDamageRand": "386 * 0.1", "nCostMana": "0"}, {"nDamageBase": "486 * 0.95", "nDamageRand": "486 * 0.1", "nCostMana": "0"}, {"nDamageBase": "586 * 0.95", "nDamageRand": "586 * 0.1", "nCostMana": "0"}, {"nDamageBase": "686 * 0.95", "nDamageRand": "686 * 0.1", "nCostMana": "0"}, {"nDamageBase": "786 * 0.95", "nDamageRand": "786 * 0.1", "nCostMana": "0"}, {"nDamageBase": "886 * 0.95", "nDamageRand": "886 * 0.1", "nCostMana": "0"}]		EXECUTE_SCRIPT
北天药宗\套路及子技能\北天药宗_棘丛于地目标点方形5-10.lua	北天药宗	plain	{"bIgnorePrepareState": "true", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "50 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "5 * LENGTH_BASE", "nChannelInterval": "240", "nWeaponDamagePercent": "0"}	[{"nDamageBase": "186 * 0.95", "nDamageRand": "186 * 0.1", "nCostMana": "0"}, {"nDamageBase": "286 * 0.95", "nDamageRand": "286 * 0.1", "nCostMana": "0"}, {"nDamageBase": "386 * 0.95", "nDamageRand": "386 * 0.1", "nCostMana": "0"}, {"nDamageBase": "486 * 0.95", "nDamageRand": "486 * 0.1", "nCostMana": "0"}, {"nDamageBase": "586 * 0.95", "nDamageRand": "586 * 0.1", "nCostMana": "0"}, {"nDamageBase": "686 * 0.95", "nDamageRand": "686 * 0.1", "nCostMana": "0"}, {"nDamageBase": "786 * 0.95", "nDamageRand": "786 * 0.1", "nCostMana": "0"}, {"nDamageBase": "886 * 0.95", "nDamageRand": "886 * 0.1", "nCostMana": "0"}]		EXECUTE_SCRIPT
北天药宗\套路及子技能\北天药宗_浅碧目标范围群免死.lua	北天药宗	plain	{"bIgnorePrepareState": "true", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "6 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "6 * LENGTH_BASE", "nChannelInterval": "24 * 1.5 * 1.3 * 0.8", "nWeaponDamagePercent": "0"}	[{"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}, {"nCostMana": "0"}]		
北天药宗\套路及子技能\北天药宗_清嘉青川濯莲消耗自身气血治疗子技能.lua	北天药宗	plain	{"nMaxRadius": "50 * LENGTH_BASE", "nAngleRange": "256", "nChannelInterval": "200"}	[{"nCostMana": "115"}, {"nCostMana": "166"}, {"nCostMana": "205"}, {"nCostMana": "243"}, {"nCostMana": "282"}, {"nCostMana": "321"}, {"nCostMana": "359"}, {"nCostMana": "398"}, {"nCostMana": "398"}, {"nCostMana": "115"}, {"nCostMana": "166"}, {"nCostMana": "205"}, {"nCostMana": "243"}, {"nCostMana": "282"}, {"nCostMana": "321"}, {"nCostMana": "359"}, {"nCostMana": "398"}]		CALL_THERAPY;SKILL_THERAPY;SKILL_THERAPY_RAND
北天药宗\套路及子技能\北天药宗_游泽目标点群定身伤害子技能.lua	北天药宗	plain	{"bIgnorePrepareState": "true", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "30 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "6 * LENGTH_BASE", "nChannelInterval": "40", "nWeaponDamagePercent": "0"}	[{"nDamageBase": "30", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "39", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "48", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "57", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "66", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "75", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "84", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "93", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "102", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "111", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "120", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "129", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "138", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "147", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "156", "nDamageRand": "15", "nCostMana": "0"}]		CALL_POISON_DAMAGE;SKILL_POISON_DAMAGE;SKILL_POISON_DAMAGE_RAND;THERAPY_POWER_TO_MAGIC_ATTACK_POWER_COF
北天药宗\套路及子技能\北天药宗_灵素中和对目标治疗子技能.lua	北天药宗	bytecode	{}	[]		nChannelInterval;bIgnorePrepareState;nCostMana;nMinRadius;nMaxRadius;nAngleRange
北天药宗\套路及子技能\北天药宗_灵素反佐目标点范围中和治疗子技能.lua	北天药宗	plain	{"bIgnorePrepareState": "true", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "50 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "6 * LENGTH_BASE", "nChannelInterval": "(20 + dwSkillLevel * 4)"}	[{"nCostMana": "115"}, {"nCostMana": "166"}, {"nCostMana": "205"}, {"nCostMana": "243"}, {"nCostMana": "282"}, {"nCostMana": "321"}, {"nCostMana": "359"}, {"nCostMana": "398"}, {"nCostMana": "398"}, {"nCostMana": "115"}, {"nCostMana": "166"}, {"nCostMana": "205"}, {"nCostMana": "243"}, {"nCostMana": "282"}, {"nCostMana": "321"}, {"nCostMana": "359"}, {"nCostMana": "398"}]		EXECUTE_SCRIPT
北天药宗\套路及子技能\北天药宗_生地棘丛于地高额仇恨子技能.lua	北天药宗	plain	{"nBaseThreat": "100000", "bIgnorePrepareState": "true", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "50 * LENGTH_BASE", "nAngleRange": "256", "nWeaponDamagePercent": "0"}	[{"nDamageBase": "33", "nDamageRand": "5", "nCostMana": "0"}, {"nDamageBase": "33", "nDamageRand": "5", "nCostMana": "0"}]		EXECUTE_SCRIPT;SPOOF
北天药宗\套路及子技能\北天药宗_腐生予馈持续添加温毒子技能.lua	北天药宗	plain	{"bIgnorePrepareState": "true", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "50 * LENGTH_BASE", "nAngleRange": "256", "nAreaRadius": "8 * LENGTH_BASE", "nChannelInterval": "210", "nWeaponDamagePercent": "0"}	[{"nAddRage": "0", "nCostRage": "10", "nDamageBase": "16 * 0.95", "nDamageRand": "16 * 0.1"}, {"nAddRage": "0", "nCostRage": "10", "nDamageBase": "22 * 0.95", "nDamageRand": "22 * 0.1"}, {"nAddRage": "0", "nCostRage": "10", "nDamageBase": "16 * 0.95", "nDamageRand": "16 * 0.1"}, {"nAddRage": "0", "nCostRage": "10", "nDamageBase": "22 * 0.95", "nDamageRand": "22 * 0.1"}, {"nAddRage": "0", "nCostRage": "10", "nDamageBase": "16 * 0.95", "nDamageRand": "16 * 0.1"}, {"nAddRage": "0", "nCostRage": "10", "nDamageBase": "22 * 0.95", "nDamageRand": "22 * 0.1"}]		EXECUTE_SCRIPT
北天药宗\套路及子技能\北天药宗_逐云寒睿破隐一击伤害子技能.lua	北天药宗	plain	{"bIgnorePrepareState": "true", "nMinRadius": "0 * LENGTH_BASE", "nMaxRadius": "50 * LENGTH_BASE", "nAngleRange": "256", "nChannelInterval": "40 * 1.3 * 1.25 * 0.85 * 0.9 * 0.9 * 0.9 * 0.9 * 0.9", "nWeaponDamagePercent": "0"}	[{"nDamageBase": "33", "nDamageRand": "5", "nCostMana": "0"}, {"nDamageBase": "45", "nDamageRand": "5", "nCostMana": "0"}, {"nDamageBase": "58", "nDamageRand": "5", "nCostMana": "0"}, {"nDamageBase": "70", "nDamageRand": "5", "nCostMana": "0"}, {"nDamageBase": "83", "nDamageRand": "5", "nCostMana": "0"}, {"nDamageBase": "95", "nDamageRand": "5", "nCostMana": "0"}, {"nDamageBase": "107", "nDamageRand": "5", "nCostMana": "0"}, {"nDamageBase": "120", "nDamageRand": "5", "nCostMana": "0"}, {"nDamageBase": "132", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "144", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "157", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "169", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "182", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "194", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "206", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "219", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "231", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "244", "nDamageRand": "10", "nCostMana": "0"}, {"nDamageBase": "256", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "268", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "281", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "293", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "306", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "318", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "330", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "343", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "355", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "367", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "380", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "392", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "405", "nDamageRand": "15", "nCostMana": "0"}, {"nDamageBase": "417", "nDamageRand": "15", "nCostMana": "0"}]		CALL_POISON_DAMAGE;SKILL_POISON_DAMAGE;SKILL_POISON_DAMAGE_RAND
唐门\化血镖_内功.lua	唐门	bytecode	{}	[]		nChannelInterval;bIgnorePrepareState;nCostMana;nMinRadius;nMaxRadius;nAreaRadius;nAngleRange
唐门\化血镖_外功.lua	唐门	bytecode	{}	[]		nChannelInterval;nCostMana;nMinRadius;nMaxRadius;nAngleRange
唐门\唐门_合猎囚锋.lua	唐门	bytecode	{}	[]	SetCheckCoolDown	nCostMana;nMinRadius;nMaxRadius;nAngleRange
