script	school	min_range_chi	max_range_chi	area_radius_chi	angle_deg	rect_width_chi	protect_radius_chi	targets
纯阳\子技能_回气.lua	纯阳	0	5	0	360			2(raw)
纯阳\子技能_大道无术_10点气.lua	纯阳	0	8	0	180			2(raw)
纯阳\子技能_大道无术_1点气.lua	纯阳	0	8	0	180			2(raw)
纯阳\子技能_大道无术_2点气.lua	纯阳	0	8	0	180			2(raw)
纯阳\子技能_大道无术_3点气.lua	纯阳	0	8	0	180			2(raw)
纯阳\子技能_大道无术_4点气.lua	纯阳	0	8	0	180			2(raw)
纯阳\子技能_大道无术_5点气.lua	纯阳	0	8	0	180			2(raw)
纯阳\子技能_大道无术_6点气.lua	纯阳	0	8	0	180			2(raw)
纯阳\子技能_大道无术_7点气.lua	纯阳	0	8	0	180			2(raw)
纯阳\子技能_大道无术_8点气.lua	纯阳	0	8	0	180			2(raw)
纯阳\子技能_大道无术_9点气.lua	纯阳	0	8	0	180			2(raw)
纯阳\子技能_抱元守缺_1点气.lua	纯阳	0	0	0	360			2(raw)
纯阳\子技能_抱元守缺_2点气.lua	纯阳	0	0	0	360			2(raw)
纯阳\子技能_抱元守缺_3点气.lua	纯阳	0	0	0	360			2(raw)
纯阳\子技能_抱元守缺_4点气.lua	纯阳	0	0	0	360			2(raw)
纯阳\子技能_抱元守缺_5点气.lua	纯阳	0	0	0	360			2(raw)
纯阳\子技能_抱元守缺_6点气.lua	纯阳	0	0	0	360			2(raw)
纯阳\子技能_气场效果_凌太虚.lua	纯阳	0	50	10	360			1(raw)
纯阳\子技能_气场效果_凌太虚加强.lua	纯阳	0	50	10	360			6(raw)
纯阳\子技能_紫霞功_放气后回气.lua	纯阳	0	0	0	360			2(raw)
纯阳\子技能_自身回豆.lua	纯阳	0	4	0	360	0	0	1(raw)
纯阳\子技能_镇山河驱散自己.lua	纯阳	0	50	6	360			2(raw)
纯阳\气场聚气_太虚剑意.lua	纯阳	0	0	0	360			2(raw)
绝境战场\撼如雷自身加Buff.lua	绝境战场	0	0	0	360	0	0	2(raw)
绝境战场\绝境_一段守缺.lua	绝境战场	0(raw)	10	0	180			2(raw)
绝境战场\绝境_七星拱瑞.lua	绝境战场	0(raw)	25	0	180			2(raw)
绝境战场\绝境_七星拱瑞npc.lua	绝境战场	0(raw)	26	0	180			2(raw)
绝境战场\绝境_七星拱瑞player.lua	绝境战场	0(raw)	26	0	180			2(raw)
绝境战场\绝境_万剑归宗.lua	绝境战场	0(raw)	50	6	360			6(raw)
绝境战场\绝境_三才化生.lua	绝境战场	0(raw)	0(raw)	8	360			6(raw)
绝境战场\绝境_三环套月.lua	绝境战场	0(raw)	MELEE_ATTACK_DISTANCE	0	180			2(raw)
绝境战场\绝境_三环套月额外伤害.lua	绝境战场	0(raw)	6	0	360			2(raw)
绝境战场\绝境_两仪化形.lua	绝境战场	20	20	0	180			2(raw)
绝境战场\绝境_二段守缺.lua	绝境战场	0(raw)	10	0	180			2(raw)
绝境战场\绝境_云飞玉皇.lua	绝境战场	0	8	0 * LENGTH_	180			2(raw)
绝境战场\绝境_云飞玉皇额外伤害.lua	绝境战场	0	10	0 * LENGTH_	180			2(raw)
绝境战场\绝境_五方行尽.lua	绝境战场	0	20	8	360			6(raw)
绝境战场\绝境_五蕴皆空.lua	绝境战场	0(raw)	MELEE_ATTACK_DISTANCE	0	180			2(raw)
绝境战场\绝境_亢龙有悔.lua	绝境战场	0	6	0	180			1(raw)
绝境战场\绝境_任驰骋.lua	绝境战场	0(raw)	25	25	360			
绝境战场\绝境_傍花随柳.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境_傍花随柳伤害触发.lua	绝境战场	0	80	0	360			1(raw)
绝境战场\绝境_傍花随柳触发.lua	绝境战场	0	0	0	360	0	0	1(raw)
绝境战场\绝境_兰摧子技能.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境_兰摧玉折.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境_冲阴阳.lua	绝境战场	0(raw)	20	0	360			0(raw)
绝境战场\绝境_净世破魔击.lua	绝境战场	0	12	0	180	0	0	2(raw)
绝境战场\绝境_凌太虚.lua	绝境战场	0(raw)	20	0	360			0(raw)
绝境战场\绝境_凌太虚子技能.lua	绝境战场	0	50	15	360			25(raw)
绝境战场\绝境_剑主天地.lua	绝境战场	20	20	0	180			2(raw)
绝境战场\绝境_剑转流云.lua	绝境战场	0	20	20	360			2(raw)
绝境战场\绝境_剑飞惊天.lua	绝境战场	0(raw)	20		180			
绝境战场\绝境_化血镖.lua	绝境战场	0(raw)	25		180			
绝境战场\绝境_千蝶吐瑞.lua	绝境战场	0	20	20	360			1(raw)
绝境战场\绝境_吞日月.lua	绝境战场	0(raw)	20	0	360			0(raw)
绝境战场\绝境_听雷.lua	绝境战场	0	MELEE_ATTACK_DISTANCE	MELEE_ATTACK_DISTANCE	180			1(raw)
绝境战场\绝境_商阳子技能.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境_商阳指.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境_啸如虎.lua	绝境战场	0	0	0	360	0	0	2(raw)
绝境战场\绝境_四象轮回.lua	绝境战场	0(raw)	25	0	180			2(raw)
绝境战场\绝境_回风扫叶.lua	绝境战场	0(raw)	MELEE_ATTACK_DISTANCE	4	119.531			8(raw)
绝境战场\绝境_圣明佑.lua	绝境战场	0(raw)	0(raw)	0	360			2(raw)
绝境战场\绝境_坐忘无我.lua	绝境战场	0(raw)	4		360			
绝境战场\绝境_夕照雷锋.lua	绝境战场	0	8		180			
绝境战场\绝境_夕照雷锋伤害子技能.lua	绝境战场	0	10		180			
绝境战场\绝境_大狮子吼.lua	绝境战场	0(raw)	6	6	360			5(raw)
绝境战场\绝境_大道无术.lua	绝境战场	0(raw)	8	0	180			2(raw)
绝境战场\绝境_天地低昂.lua	绝境战场	0(raw)	5	tSkillData[dwSkillLevel].nLength * LENGTH_BASE	360			5(raw)
绝境战场\绝境_天地无极.lua	绝境战场	0(raw)	20		180			
绝境战场\绝境_太极无极.lua	绝境战场	0(raw)	20		180			
绝境战场\绝境_太阴指.lua	绝境战场		4	8	360			
绝境战场\绝境_夺命蛊.lua	绝境战场	0(raw)	0(raw)	0	360			2(raw)
绝境战场\绝境_夺魄箭.lua	绝境战场	0	25	0 * LENGTH_	180			2(raw)
绝境战场\绝境_女娲补天.lua	绝境战场	0(raw)	0(raw)	0	360			2(raw)
绝境战场\绝境_孔雀翎.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境_孔雀翎实际伤害.lua	绝境战场	0	30	10	180			1(raw)
绝境战场\绝境_孔雀翎技能事件触发伤害.lua	绝境战场	0(raw)	30	0	360			2(raw)
绝境战场\绝境_守缺式.lua	绝境战场	0(raw)	8		180			
绝境战场\绝境_少明指.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境_帝骖龙翔.lua	绝境战场	0	8	8	360			5(raw)
绝境战场\绝境_幽月轮.lua	绝境战场	0(raw)	4		180			
绝境战场\绝境_技能挂急曲.lua	绝境战场	0	30	0	360			2(raw)
绝境战场\绝境_技能爆急曲.lua	绝境战场	0	30	0	360			1(raw)
绝境战场\绝境_抱残式.lua	绝境战场	0(raw)	8		180			
绝境战场\绝境_拿云式.lua	绝境战场	0(raw)	MELEE_ATTACK_DISTANCE	0	180			2(raw)
绝境战场\绝境_捉影式.lua	绝境战场	MELEE_ATTACK_DISTANCE	35	0	180			2(raw)
绝境战场\绝境_捕风式.lua	绝境战场	0(raw)	20		180			
绝境战场\绝境_摩诃无量.lua	绝境战场	0(raw)	20		180			
绝境战场\绝境_撼如雷.lua	绝境战场	0(raw)	6	15	360			10(raw)
绝境战场\绝境_断魂刺.lua	绝境战场	8	25		119.531			
绝境战场\绝境_断魂刺伤害.lua	绝境战场	5	25		360			
绝境战场\绝境_施放技能通用显形.lua	绝境战场	0	20	0	360	0	0	2(raw)
绝境战场\绝境_无我无剑.lua	绝境战场	0	MELEE_ATTACK_DISTANCE	MELEE_ATTACK_DISTANCE	180			2(raw)
绝境战场\绝境_无相诀.lua	绝境战场	0(raw)	0(raw)	20	360			2(raw)
绝境战场\绝境_日月交替.lua	绝境战场	0	15	0	360	0	0	2(raw)
绝境战场\绝境_星楼月影.lua	绝境战场	0(raw)	0(raw)	0	360			2(raw)
绝境战场\绝境_春泥护花.lua	绝境战场	0	20	0	360			2(raw)
绝境战场\绝境_普渡四方.lua	绝境战场	0(raw)	MELEE_ATTACK_DISTANCE	0	180			2(raw)
绝境战场\绝境_暗尘弥散.lua	绝境战场	0	0	0	360	0	0	2(raw)
绝境战场\绝境_月破伤害.lua	绝境战场	0	15	0	180	0	0	2(raw)
绝境战场\绝境_枯残蛊.lua	绝境战场	0(raw)	0(raw)	0	360			2(raw)
绝境战场\绝境_棒打狗头.lua	绝境战场	0	20		180			
绝境战场\绝境_棒打狗头伤害.lua	绝境战场	0	6	0	180			1(raw)
绝境战场\绝境_棒打狗头冲刺.lua	绝境战场	0	25	0	180			1(raw)
绝境战场\绝境_横扫六合.lua	绝境战场	5(raw)	0(raw)	5	360			5(raw)
绝境战场\绝境_横扫六合AOE.lua	绝境战场	0(raw)	5(raw)	5	360			5(raw)
绝境战场\绝境_横扫六合单体.lua	绝境战场	0(raw)	5(raw)	5	360			5(raw)
绝境战场\绝境_江海凝光.lua	绝境战场	0(raw)	20	tSkillData[dwSkillLevel].nLength * LENGTH_BASE	180			5(raw)
绝境战场\绝境_沧月.lua	绝境战场	0(raw)	MELEE_ATTACK_DISTANCE		180			
绝境战场\绝境_沧月击退.lua	绝境战场	0(raw)	6	6	360			6(raw)
绝境战场\绝境_浮光掠影.lua	绝境战场	0	0	0	360	0	0	2(raw)
绝境战场\绝境_渊.lua	绝境战场	6	20	30	360			20(raw)
绝境战场\绝境_渊冲刺.lua	绝境战场	0	30	0	360			2(raw)
绝境战场\绝境_渊触发技能事件.lua	绝境战场		20	20	360			
绝境战场\绝境_潜龙勿用.lua	绝境战场	0	0	6	360	0	0	5(raw)
绝境战场\绝境_潜龙勿用范围伤害.lua	绝境战场	0	8	8	90	6		5(raw)
绝境战场\绝境_灭.lua	绝境战场	0(raw)	MELEE_ATTACK_DISTANCE		180			
绝境战场\绝境_灭低血量目标.lua	绝境战场	0(raw)	4		180			
绝境战场\绝境_灭高血量目标.lua	绝境战场	0(raw)	4		180			
绝境战场\绝境_烈日斩.lua	绝境战场	0	6	0	180	0	0	2(raw)
绝境战场\绝境_狂龙乱舞.lua	绝境战场	0	0	12	180			1(raw)
绝境战场\绝境_狂龙乱舞伤害.lua	绝境战场	0	30	8	360			5(raw)
绝境战场\绝境_玉石俱焚.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境_生太极.lua	绝境战场	0(raw)	20	0	360			0(raw)
绝境战场\绝境_生死劫.lua	绝境战场	0(raw)	20		180			
绝境战场\绝境_疾.lua	绝境战场		25	25	45			
绝境战场\绝境_疾如风.lua	绝境战场	0(raw)	0(raw)	0	360			2(raw)
绝境战场\绝境_疾实际伤害.lua	绝境战场	0	25	25	360	6	0	5(raw)
绝境战场\绝境_百足.lua	绝境战场	0	20	6	360			5(raw)
绝境战场\绝境_百足DOT添加.lua	绝境战场	0	30	6	360			5(raw)
绝境战场\绝境_百足二次攻击.lua	绝境战场	0	50	6	360			5(raw)
绝境战场\绝境_破坚阵.lua	绝境战场	0(raw)	MELEE_ATTACK_DISTANCE		180			
绝境战场\绝境_破苍穹.lua	绝境战场	0(raw)	20	0	360			0(raw)
绝境战场\绝境_破风.lua	绝境战场	0(raw)	MELEE_ATTACK_DISTANCE		180			
绝境战场\绝境_破风普通流血.lua	绝境战场	0(raw)	MELEE_ATTACK_DISTANCE		180			
绝境战场\绝境_破风额外流血.lua	绝境战场	0(raw)	MELEE_ATTACK_DISTANCE		180			
绝境战场\绝境_碎星辰.lua	绝境战场	0(raw)	20	0	360			0(raw)
绝境战场\绝境_穿.lua	绝境战场	0(raw)	8	4	180			5(raw)
绝境战场\绝境_穿云.lua	绝境战场	0(raw)	MELEE_ATTACK_DISTANCE		180			
绝境战场\绝境_穿心弩.lua	绝境战场	0	27	0	180			2(raw)
绝境战场\绝境_笑醉狂.lua	绝境战场	0	10	10	360	0	0	2(raw)
绝境战场\绝境_绛唇珠袖.lua	绝境战场	0(raw)	22		360			
绝境战场\绝境_绛唇珠袖触发伤害.lua	绝境战场	0(raw)	5		360			
绝境战场\绝境_绝境龙牙冲刺技能.lua	绝境战场	0	25	0	180			1(raw)
绝境战场\绝境_芙蓉并蒂.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境_蛇影.lua	绝境战场	0	20	4	180			5(raw)
绝境战场\绝境_蛊虫献祭.lua	绝境战场	0(raw)	0(raw)	0	360			2(raw)
绝境战场\绝境_蝎心.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境_蟾啸.lua	绝境战场	0	20	8	180			8(raw)
绝境战场\绝境_裂苍穹.lua	绝境战场	0(raw)	MELEE_ATTACK_DISTANCE		180			
绝境战场\绝境_赤日轮.lua	绝境战场	0(raw)	4		180			
绝境战场\绝境_轮回诀.lua	绝境战场	0(raw)	10		360			
绝境战场\绝境_迷心蛊.lua	绝境战场	0(raw)	0(raw)	0	360			2(raw)
绝境战场\绝境_追命箭.lua	绝境战场	0	25	0 * LENGTH_	180			2(raw)
绝境战场\绝境_追命箭额外伤害.lua	绝境战场	0	30	0 * LENGTH_	180			2(raw)
绝境战场\绝境_钟林子技能.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境_钟林毓秀.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境_银月斩.lua	绝境战场	0	6	0	180	0	0	2(raw)
绝境战场\绝境_镇山河.lua	绝境战场	0(raw)	20	0	360			0(raw)
绝境战场\绝境_长针.lua	绝境战场	0(raw)	20	20	360			2(raw)
绝境战场\绝境_长针正常治疗.lua	绝境战场	0(raw)	23	20	360			2(raw)
绝境战场\绝境_长针毒圈减疗.lua	绝境战场	0(raw)	23	20	360			2(raw)
绝境战场\绝境_阳明指.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境_雷霆震怒.lua	绝境战场	0(raw)	17 },	tSkillData[dwSkillLevel].nLength * LENGTH_BASE	180			5(raw)
绝境战场\绝境_雷震子.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境_雾暗迷云.lua	绝境战场	0	20	0	180	0	0	2(raw)
绝境战场\绝境_韦陀献杵.lua	绝境战场	0(raw)	20		180			
绝境战场\绝境_风袖低昂.lua	绝境战场	0(raw)	20	20	360			1(raw)
绝境战场\绝境_风袖减疗治疗.lua	绝境战场	0(raw)	23	20	360			2(raw)
绝境战场\绝境_风袖正常治疗.lua	绝境战场	0(raw)	23	20	360			2(raw)
绝境战场\绝境_驱夜断愁.lua	绝境战场	0	4	0	180	0	0	1(raw)
绝境战场\绝境_鸟翔碧空.lua	绝境战场	0	4	0	360			2(raw)
绝境战场\绝境_鹊踏枝.lua	绝境战场	0(raw)	20	20	360			2(raw)
绝境战场\绝境_鹤归孤山.lua	绝境战场	0	8		180			
绝境战场\绝境_龙吟.lua	绝境战场	0(raw)	MELEE_ATTACK_DISTANCE		180			
绝境战场\绝境_龙战于野.lua	绝境战场	0	4	0	180			1(raw)
绝境战场\绝境_龙战于野拉.lua	绝境战场	0	10	10	119.531			5(raw)
绝境战场\绝境_龙牙.lua	绝境战场	0(raw)	20		180			
绝境战场\绝境·引窍.lua	绝境战场	0	20	0	180	0	0	2(raw)
绝境战场\绝境·截阳.lua	绝境战场	0	20	0	180	0	0	2(raw)
绝境战场\绝境·风流云散.lua	绝境战场	0	20	1	360	0	0	1(raw)
绝境战场\绝境引窍伤害子技能.lua	绝境战场	0	40	0	360	0	0	2(raw)
绝境战场\绝境截阳伤害子技能.lua	绝境战场	0	40	0	360	0	0	2(raw)
绝境战场\绝境玉石额外伤害.lua	绝境战场	0	20	0	180			2(raw)
绝境战场\绝境绝脉爆炸伤害.lua	绝境战场	0	40	0	360	0	0	2(raw)
绝境战场\隐身表现延迟处理.lua	绝境战场	0	0	0	360	0	0	2(raw)
苍云\套路及子技能\苍云_苍雪刀_劫刀0-10.lua	苍云	0	6	6	180	0	0	1(raw)
苍云\套路及子技能\苍云_苍雪刀_劫刀40-50.lua	苍云	0	6	6	180	0	0	1(raw)
苍云\套路及子技能\苍云_苍雪刀_斩刀0-10.lua	苍云	0	30	0	180	0	0	2(raw)
苍云\套路及子技能\苍云_苍雪刀_斩刀40-50.lua	苍云	0	30	0	180	0	0	2(raw)
苍云\套路及子技能\苍云_苍雪刀_绝刀0-10.lua	苍云	0	6	6	180	0	0	1(raw)
苍云\套路及子技能\苍云_苍雪刀_绝刀40-50.lua	苍云	0	6	6	180	0	0	1(raw)
苍云\套路及子技能\苍云_苍雪刀_隐刀伤害.lua	苍云	0	12	0	360	0	0	1(raw)
蓬莱\套路及子技能\蓬莱_乘游九霄_翔极碧落.lua	蓬莱	0	20	5	360	0	0	1(raw)
蓬莱\套路及子技能\蓬莱_子技能_伞浮空雕表现技能.lua	蓬莱	0	0	0	360	0	0	2(raw)
蓬莱\套路及子技能\蓬莱_子技能_翔极碧落_实际伤害.lua	蓬莱	0	0	6	360	0	0	6(raw)
蓬莱\套路及子技能\蓬莱_子技能_翔极碧落冲刺.lua	蓬莱	0	30	30	360	0	0	10(raw)
蓬莱\套路及子技能\蓬莱_子技能_翔极碧落打断后沉默.lua	蓬莱	0	50	50	360	0	0	2(raw)
蓬莱\套路及子技能\蓬莱_子技能_驭羽骋风表现.lua	蓬莱	0	20	0	360	0	0	1(raw)
藏剑\新雾腾额外伤害.lua	藏剑	0	0	0	360	0	0	2(raw)
藏剑\藏剑_冰天_添加夕照瞬发.lua	藏剑	0	8	0	360	0	0	1(raw)
藏剑\藏剑_灵峰剑式_子技能_霞流宝石跳跃伤害.lua	藏剑	0	6	6	360			10(raw)
藏剑\藏剑_灵峰剑式_子技能_霞流宝石跳跃驱散.lua	藏剑	0	6	6	360			10(raw)
藏剑\藏剑_灵峰剑式_子技能_霞流宝石近距离.lua	藏剑	0	6	6	360			10(raw)
藏剑\藏剑_灵峰剑式_子技能_霞流宝石远距离.lua	藏剑	0	6	6	360			10(raw)
藏剑\藏剑_灵峰剑式_霞流宝石.lua	藏剑	0	6	6	360			10(raw)
藏剑\藏剑_西子情_判定剑气增加云飞伤害.lua	藏剑	0	0	0	360	0	0	2(raw)
藏剑\镇派\藏剑_冰天_添加会效.lua	藏剑	0	8	0	360	0	0	1(raw)
衍天\套路及子技能\踏星行空中悬停.lua	衍天	0(raw)	0(raw)	0	360			2(raw)
装备\中秋扇子.lua	装备	0	4	0	360	0	0	2(raw)
装备\充值伞.lua	装备	0	4	0	360	0	0	2(raw)
装备\挂件相关\分段外装通用_ab.lua	装备	0	4		360			
装备\挂件相关\分段外装通用_cd.lua	装备	0	4		360			
装备\挂件相关\分段外装通用_ef.lua	装备	0	4		360			
装备\挂件相关\分段外装通用_g.lua	装备	0	4		360			
装备\挂件相关\分段外装通用_退出.lua	装备	0	4		360			
装备\挂件相关\外装211_冲浪_ab.lua	装备	0	4		360			
装备\挂件相关\外装211_冲浪_cd.lua	装备	0	4		360			
装备\挂件相关\外装211_冲浪_ef.lua	装备	0	4		360			
装备\挂件相关\外装211_冲浪_g.lua	装备	0	4		360			
装备\挂件相关\外装211_冲浪_退出.lua	装备	0	4		360			
装备\挂件相关\外装212_唐刀_ab.lua	装备	0	4		360			
装备\挂件相关\外装212_唐刀_cd.lua	装备	0	4		360			
装备\挂件相关\外装212_唐刀_ef.lua	装备	0	4		360			
装备\挂件相关\外装212_唐刀_g.lua	装备	0	4		360			
装备\挂件相关\外装212_唐刀_退出.lua	装备	0	4		360			
装备\挂件相关\外装212_弓舞_ab.lua	装备	0	4		360			
装备\挂件相关\外装212_弓舞_cd.lua	装备	0	4		360			
装备\挂件相关\外装212_弓舞_ef.lua	装备	0	4		360			
装备\挂件相关\外装212_弓舞_g.lua	装备	0	4		360			
装备\挂件相关\外装212_弓舞_退出.lua	装备	0	4		360			
装备\挂件相关\外装221_绣球_ab.lua	装备	0	4		360			
装备\挂件相关\外装221_绣球_cd.lua	装备	0	4		360			
装备\挂件相关\外装221_绣球_ef.lua	装备	0	4		360			
装备\挂件相关\外装221_绣球_g.lua	装备	0	4		360			
装备\挂件相关\外装221_绣球_退出.lua	装备	0	4		360			
装备\挂件相关\外装242_不良人_ab.lua	装备	0	4		360			
装备\挂件相关\外装242_不良人_cd.lua	装备	0	4		360			
装备\挂件相关\外装242_不良人_ef.lua	装备	0	4		360			
装备\挂件相关\外装242_不良人_g.lua	装备	0	4		360			
装备\挂件相关\外装242_不良人_退出.lua	装备	0	4		360			
装备\挂件相关\外装243_鱼灯_ab.lua	装备	0	4		360			
装备\挂件相关\外装243_鱼灯_cd.lua	装备	0	4		360			
装备\挂件相关\外装243_鱼灯_ef.lua	装备	0	4		360			
装备\挂件相关\外装243_鱼灯_g.lua	装备	0	4		360			
装备\挂件相关\外装243_鱼灯_退出.lua	装备	0	4		360			
装备\挂件相关\挂件_万品龙烛.lua	装备	0	4		360			
装备\挂件相关\背挂_笙_跪坐.lua	装备	0	4		360			
装备\挂件相关\表现1号_夏.lua	装备	0	4	0	360	0	0	2(raw)
装备\挂件相关\表现2号_孔.lua	装备	0	4	0	360	0	0	2(raw)
装备\挂件相关\表现3号_花.lua	装备	0	4	0	360	0	0	2(raw)
装备\挂件相关\表现4号_蝶.lua	装备	0	4	0	360	0	0	2(raw)
装备\挂件相关\表现5号_金.lua	装备	0	4	0	360	0	0	2(raw)
装备\挂件相关\表现6号_玄.lua	装备	0	4	0	360	0	0	2(raw)
装备\挂件相关\表现_披风_蝶梦终霄.lua	装备	0	4		360			
装备\挂件相关\表现_比翼相思.lua	装备	0	4	0	360	0	0	2(raw)
装备\罗伞戏鱼渊.lua	装备	0	4	0	360	0	0	2(raw)
装备\面具舞蹈201503月.lua	装备	0	4	0	360	0	0	2(raw)
轻功\八大派\少林\少林水冲刺C执行.lua	轻功		4					
轻功\轻功通用\近战通用冲刺.lua	轻功	4	50	8	180	0	0	1(raw)
长歌\套路及子技能\爻辰剑宫加三尺.lua	长歌	0	4	0	360	0	0	2(raw)
长歌\套路及子技能\长歌_删除影子效果.lua	长歌	0	4	0	360	0	0	2(raw)
长歌\套路及子技能\青霄化羽选择buff子技能3.lua	长歌	0	6	20	360	0	0	3(raw)
阵法\唐门内功阵法第五重_小队加闪避.lua	阵法	0	30	30	360			6(raw)
阵法\少林攻击阵法第五重.lua	阵法	0(raw)	30	30	360			
霸刀\套路及子技能\霸刀_大刀_鸣震九霄.lua	霸刀	0	20	10	360	0	0	5(raw)
霸刀\套路及子技能\霸刀_横断山河40-60伤害.lua	霸刀	0	50	5	360	8	5	1(raw)
