====================================================================================================
鐮撮槻 count 60
   552 澶╃瓥-鐮撮-鐮撮槻 | FT= Damage | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atPhysicsShieldBase -7 | Cnt= 1 Ivl= 480 | Stack= 5
   26074 娲辨捣缁濆澶嶆椿璁℃椂 | FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 32 | Stack= 1
   26147 缁濆鐨勭悍鎵奥峰皯鏋?| FT=  | Decay=  | MS= 4294967295 | Ban= 255 | Inv= 0 | A1= atFinalMaxLifeAddPercent 164 | Cnt= 1 Ivl= 57600 | Stack= 1
   26178 娲辨捣缁濆姝绘枟缁撴潫鍓嶇瓑寰?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atNegativeShield  | Cnt= 1 Ivl= 320 | Stack= 1
   26179 娲辨捣缁濆姝绘枟缁撴潫鍚庝笉鍚冩瘨 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atMoveSpeedPercent 307 | Cnt= 1 Ivl= 16 | Stack= 1
   26378 娲辨捣缁濆鍑绘潃鍙犱激瀹?| FT=  | Decay=  | MS= 4294967295 | Ban=  | Inv= 0 | A1= atMagicAttackPowerBase 228 | Cnt= 1 Ivl= 0 | Stack= 10
   27421 缁濆鐙傛€?| FT=  | Decay=  | MS= 3758030846 | Ban= 472 | Inv= 0 | A1= atAllDamageAddPercent 103 | Cnt= 1 Ivl= 24 | Stack= 1
   27456 缁濆鎴樺満浠诲姟buff | FT=  | Decay=  | MS= 4294967294 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 960 | Stack= 1
   28508 缁濆_鍦ｆ槑浣?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1= atSetHitReduceRate 2000 | Cnt= 1 Ivl= 160 | Stack= 1
   28541 缁濆_澶ч亾瀹氳韩 | FT= Halt | Decay= 2 | MS= 1405100032 | Ban=  | Inv=  | A1= atFreeze 0 | Cnt= 1 Ivl= 96 | Stack= 1
   28542 缁濆路妯壂鍏悎 | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28543 缁濆路鎹曢寮?| FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28544 缁濆路鎶辨畫寮?| FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28545 缁濆路瀹堢己寮?| FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28546 缁濆路鎹夊奖寮?| FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28547 缁濆路鎷夸簯寮?| FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28548 缁濆路闀块拡 | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28549 缁濆路鍟嗛槼鎸?| FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28550 缁濆路閽熸灄姣撶 | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28551 缁濆路鍏版懅鐜夋姌 | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28552 缁濆路鐮撮 | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28553 缁濆路绌?| FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28554 缁濆路澶瀬鏃犳瀬 | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28555 缁濆路涓夌幆濂楁湀 | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28556 缁濆路鍓戦鎯婂ぉ | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28557 缁濆路榫欑墮 | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28558 缁濆路榫欏悷 | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28559 缁濆路鐏?| FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28560 缁濆路铔囧奖 | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28561 缁濆路锜惧暩 | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28562 缁濆路澶哄懡铔?| FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28563 缁濆路杩峰績铔?| FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28564 缁濆路鏋畫铔?| FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28565 缁濆路鍖栬闀?| FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28566 缁濆路瀛旈泙缈?| FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28567 缁濆路鐜夌煶淇辩剼 | FT=  | Decay=  | MS= 4294967295 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
====================================================================================================
娌欐毚 count 7
   4945 鏄庢暀鍦烘櫙_榛戞矙鏆?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv=  | A1=   | Cnt= 1000000 Ivl= 16 | Stack= 1
   5599 澶ф槑瀹玙鐙闂織_娌欐毚 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 64 | Stack= 1
   8369 闆侀棬鍏充箣褰筥鐙闂織_娌欐毚 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   8479 闆侀棬鍏充箣褰筥鐙闂織_娌欐毚鐪╂檿 | FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1= atHalt  | Cnt= 5 Ivl= 16 | Stack= 1
   14541 闅愯棌BOSS_娌欐毚鍦堣〃鐜?| FT=  | Decay=  | MS= 3758030846 | Ban=  | Inv= 0 | A1=   | Cnt= 1 Ivl= 0 | Stack= 1
   28984 5鍙穇鑻忎粈_娌欐毚淇濇姢 | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
   29053 5鍙穇鑻忎粈_娌欐毚淇濇姢_閫嗗悜 | FT=  | Decay=  | MS= 3758030846 | Ban= 0 | Inv= 0 | A1=   | Cnt= 1 Ivl= 16 | Stack= 1
